genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
14376,0OBFJ2klMAcaw5DbEmfwOq,spotify:track:0OBFJ2klMAcaw5DbEmfwOq,Tu Mile Dil Khile,5qERXbPWPdUePjrAW00vuU,Raj Barman,spotify:artist:5qERXbPWPdUePjrAW00vuU,Tu Mile Dil Khile:Raj Barman,2,filmi
14377,0OBFJ2klMAcaw5DbEmfwOq,spotify:track:0OBFJ2klMAcaw5DbEmfwOq,Tu Mile Dil Khile,5qERXbPWPdUePjrAW00vuU,Raj Barman,spotify:artist:5qERXbPWPdUePjrAW00vuU,Tu Mile Dil Khile:Raj Barman,3,modern bollywood
14378,5oLXoUvHMQ7CQw5kUbPOSu,spotify:track:5oLXoUvHMQ7CQw5kUbPOSu,anay wala kal/ghubaray,1jA3YcX1zKWTaWL7wp3PqI,Rutaba Yaqub,spotify:artist:1jA3YcX1zKWTaWL7wp3PqI,anay wala kal/ghubaray:Rutaba Yaqub,0,pakistani indie
14379,5RLpJee06D4qs4GET4GNMP,spotify:track:5RLpJee06D4qs4GET4GNMP,Be Myself,3PbkSdpJnYRF18jau74b7R,Abdullah Siddiqui,spotify:artist:3PbkSdpJnYRF18jau74b7R,Be Myself:Abdullah Siddiqui,0,pakistani indie
14380,5RLpJee06D4qs4GET4GNMP,spotify:track:5RLpJee06D4qs4GET4GNMP,Be Myself,3PbkSdpJnYRF18jau74b7R,Abdullah Siddiqui,spotify:artist:3PbkSdpJnYRF18jau74b7R,Be Myself:Abdullah Siddiqui,1,pakistani pop
14381,4Wjhj0WjkyECccfHVIgaTq,spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Trust Issues:Drake,0,canadian hip hop
14382,4Wjhj0WjkyECccfHVIgaTq,spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Trust Issues:Drake,1,canadian pop
14383,4Wjhj0WjkyECccfHVIgaTq,spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Trust Issues:Drake,2,hip hop
14384,4Wjhj0WjkyECccfHVIgaTq,spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Trust Issues:Drake,3,rap
14385,4Wjhj0WjkyECccfHVIgaTq,spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,Trust Issues:Drake,4,toronto rap
