tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
88,4eS6SJczn7yay78Spw3SPy,spotify:track:4eS6SJczn7yay78Spw3SPy,Do I Wanna Know? (triple j Like A Version),3CjlHNtplJyTf9npxaPl5w,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,7wxVXJYOYvs5to443tYZho,Do I Wanna Know? (triple j Like A Version),spotify:album:7wxVXJYOYvs5to443tYZho,Do I Wanna Know? (triple j Like A Version):CHVRCHES
89,6mFkJmJqdDVQ1REhVfGgd1,spotify:track:6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,0bCAjiUamIFqKJsekOYuRw,Wish You Were Here,spotify:album:0bCAjiUamIFqKJsekOYuRw,Wish You Were Here:Pink Floyd
90,0Nt3UdaA4KrHEUSNwq9nCI,spotify:track:0Nt3UdaA4KrHEUSNwq9nCI,Feel A Way,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,0IMTA2Wz6p8CNZ0MDK2zvg,I Used To Know Her,spotify:album:0IMTA2Wz6p8CNZ0MDK2zvg,Feel A Way:H.E.R.
91,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,Wake Me Up Before You Go-Go,5lpH0xAS4fVfLkACg9DAuM,Wham!,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,02f3y3NTsddjdUMoNiBppI,Make It Big,spotify:album:02f3y3NTsddjdUMoNiBppI,Wake Me Up Before You Go-Go:Wham!
92,0PvFJmanyNQMseIFrU708S,spotify:track:0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,7e7t0MCrNDcJZsPwUKjmOc,Shoot For The Stars Aim For The Moon,spotify:album:7e7t0MCrNDcJZsPwUKjmOc,For The Night (feat. Lil Baby & DaBaby):Pop Smoke
93,48vr34351V9Sz1QVxmbYNf,spotify:track:48vr34351V9Sz1QVxmbYNf,Today I Saw The Whole World,4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,spotify:artist:4iJLPqClelZOBCBifm8Fzv,4wIX07SiESzMbSLCK3qCWQ,Misadventures,spotify:album:4wIX07SiESzMbSLCK3qCWQ,Today I Saw The Whole World:Pierce The Veil
94,1IIKrJVP1C9N7iPtG6eOsK,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,7fZKtzZAsfH0kzeTivu5TG,Slime & B,spotify:album:7fZKtzZAsfH0kzeTivu5TG,Go Crazy:Chris Brown
95,79gkupPwckmzt2wd6iySoq,spotify:track:79gkupPwckmzt2wd6iySoq,Mere Banne Ki Baat,5GMfVFXWgzA9DnoALb6ppm,Nizami Brothers,spotify:artist:5GMfVFXWgzA9DnoALb6ppm,2RMQ8tmTdEQxehdBSAVnds,"Global Sufi, Vol. 1",spotify:album:2RMQ8tmTdEQxehdBSAVnds,Mere Banne Ki Baat:Nizami Brothers
96,10ds7gidDqEORLayc77ABS,spotify:track:10ds7gidDqEORLayc77ABS,Kadi Te Has Bol,2oSONSC9zQ4UonDKnLqksx,Atif Aslam,spotify:artist:2oSONSC9zQ4UonDKnLqksx,65gu8TflgmcPGccXb2cYNf,Velo Sound Station EP 1,spotify:album:65gu8TflgmcPGccXb2cYNf,Kadi Te Has Bol:Atif Aslam
97,3h6a1y01TevwY227j3fy2m,spotify:track:3h6a1y01TevwY227j3fy2m,Next Sunday,0VaCOtKG226cWSr9GQVeeN,U-WARRIOR,spotify:artist:0VaCOtKG226cWSr9GQVeeN,3S43gcO1ZizsDQTCXasFZV,Next Sunday,spotify:album:3S43gcO1ZizsDQTCXasFZV,Next Sunday:U-WARRIOR
98,39FP6SrF6ja1ouewa3tg5x,spotify:track:39FP6SrF6ja1ouewa3tg5x,Taarif Karoon,0gXDpqwYNDODn7fB0RDN8J,Mohammed Rafi,spotify:artist:0gXDpqwYNDODn7fB0RDN8J,19jywaK6ASCv3ubpwQrkhb,Taarif Karoon - Single,spotify:album:19jywaK6ASCv3ubpwQrkhb,Taarif Karoon:Mohammed Rafi
